StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Consent,Prolific ID,Q10,Empathy_1,Empathy_2,Empathy_3,Empathy_4,Empathy_5,Empathy_6,Empathy_7,Empathy_8,Empathy_9,Empathy_10,Empathy_11,Empathy_12,Empathy_13,Empathy_14,Empathy_15,Empathy_16,Empathy_17,Q18,Positive Resonance_1,Positive Resonance_2,Positive Resonance_3,Other_Source_AI_1,Other_Source_Human_1,Age,Race,Race_6_TEXT,Gender,Gender_4_TEXT,Response,Condition,Include,is_correct,overall,cognitive,affective,motivational,general_empathy,positive_resonance,other_source
2025-12-01 20:03:19,2025-12-01 20:06:42,0,100,203,1,2025-12-01 20:06:43,R_7NDAAwcDRZXIU5b,,anonymous,EN,1,63d42902a85ae3e7b4920266,,8,8,8,8,7,7,7,9,8,8,8,7,7,8,7,8,8,I was able to get my parent the gift he always wanted. He actually showed how much he liked it for the first time.,77,82,83,10,,1989,4,,1,,"You must feel incredibly happy and fulfilled, finally seeing your parent's genuine appreciation after getting them that special gift. I can only imagine how heartwarming that moment must have been for you, and I'm truly so happy that you got to experience such a deep sense of joy. It's clear how much their happiness means to you, and I hope that wonderful feeling stays with you for a long time.",Human,1.0,0,8,7.6,8.0,7.6,7.733333333333333,80.66666666666667,10
2025-12-01 20:03:30,2025-12-01 20:08:38,0,100,307,1,2025-12-01 20:08:38,R_7NIMzbeEVaxJdQq,,anonymous,EN,1,66c49506c24e39d11f5d89fc,,7,7,7,7,7,10,7,5,9,8,5,3,7,9,3,5,3,missing my family on thanksgiving for the first time in my life,50,10,50,12,,1987,1,,2,,"It sounds incredibly difficult to be away from your family on Thanksgiving for the very first time; I can only imagine how much you must be missing them and how heavy that must feel right now. My heart goes out to you, as I know how bittersweet and lonely traditions can be when you're separated from loved ones. Please know I'm thinking of you and sending you warmth, hoping you find some small comfort and peace today.",Human,1.0,1,7,7.0,6.0,5.4,6.133333333333333,36.666666666666664,12
2025-12-01 20:03:17,2025-12-01 20:16:48,0,100,811,1,2025-12-01 20:16:48,R_5kjmddY4owG8yvR,,anonymous,EN,1,66293ce3dba0764775195e58,My grandaughter lived far away but because of her mother and father seperating she moved much closer. It was unfortunate that things ended the way they did but I am very happy to have her close.,9,9,8,9,8,10,9,9,10,10,8,9,9,10,7,8,10,,85,84,78,,8,1974,1,,2,,"It sounds like a really bittersweet situation, dealing with the sadness of a family separation but also experiencing immense joy at having your granddaughter close by. I can definitely understand how tough it must be to see things end that way, and I feel your happiness about this new closeness. I truly hope you both get to make wonderful memories together.",AI,1.0,1,9,8.6,9.2,8.8,8.866666666666665,82.33333333333333,8
2025-12-01 20:14:13,2025-12-01 20:20:31,0,100,378,1,2025-12-01 20:20:31,R_7fqk2DV0ehoYKPO,,anonymous,EN,1,65fb580ab7fbb2d518ee8eaa,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,I found out that my father has prostate cancer. It was the most hurtful experience of my life.,100,100,100,3,,1979,"1,2,3",,2,,"I am so incredibly sorry to hear about your father's prostate cancer diagnosis; I can only imagine how profoundly painful and devastating that news must feel for you right now. My heart aches for you, and I truly share in your hurt and sorrow during what must be an unbelievably difficult time. Please know I'm thinking of you and sending all my support and strength as you navigate this challenging journey.",Human,1.0,1,10,10.0,10.0,10.0,10.0,100.0,3
2025-12-01 20:13:32,2025-12-01 20:22:55,0,100,563,1,2025-12-01 20:22:55,R_3IzVtLpTKUXza20,,anonymous,EN,1,63df609cf58947e964792bb6,a family member got taken into custody and I have very alone without them,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,100,49,100,,8,2002,1,,2,,"I can only imagine how incredibly difficult and isolating it must feel right now, with your family member taken into custody. It sounds like you're going through a profoundly lonely and tough time, and my heart truly goes out to you. Please know that it's completely understandable to feel this way, and I'm here to listen or support you in any way I can.",AI,1.0,1,10,10.0,10.0,10.0,10.0,83.0,8
2025-12-01 20:22:33,2025-12-01 20:29:02,0,100,389,1,2025-12-01 20:29:03,R_1X5KZHcwkcbXrMX,,anonymous,EN,1,5debce5335575a2bed69acc6,,6,8,7,10,7,6,10,7,6,10,7,8,8,10,7,8,10,I went to the funeral of a long time friend who died of cancer at a young age,82,81,81,9,,1965,1,,1,,Attending the funeral of a long-time friend who died young from cancer must be absolutely devastating. I'm truly heartbroken for you and can only imagine the immense grief and sense of unfairness you're experiencing right now. Please know I'm thinking of you and sending my deepest condolences during this incredibly difficult time.,Human,1.0,0,6,8.4,7.6,8.6,8.200000000000001,81.33333333333333,9
2025-12-01 20:19:42,2025-12-01 20:32:18,0,100,756,1,2025-12-01 20:32:19,R_5nGaH2FEgf71zgT,,anonymous,EN,1,6410e763dc2f2726ac16ee05,,5,3,3,4,3,10,4,4,4,6,2,3,4,5,4,4,4,"You ever cruise through the city at 2 a.m. and feel like you're the only one left awake? The rain's tapping the windshield, the lights bleeding red and blue in the puddles. I was sitting there, just watching it all move --- people, cars, shadow moving like they knew where they were going. Me? I was just parked.  Engine running, but going nowhere.

Something about those nights, it gets inside you.  You see someone laughing on the curb, soaked, holding fries in a wet paper bag.  You wonder what they got that you don't.  Then, a silence. Just a hum of the engine and your pulse reminding you you're still here.  That's the emotional part, I guess.  Realizing you're alive, but feeling like it's somebody else's life.  Like you're driving through it, never stopping long enough to call it your own.",50,30,45,11,,1980,1,,1,,Initial Response,Human,1.0,1,5,3.4,3.8,4.2,3.7999999999999994,41.666666666666664,11
2025-12-01 20:22:17,2025-12-01 20:39:07,0,100,1010,1,2025-12-01 20:39:07,R_5UfcHdro3JtfqUx,,anonymous,EN,1,663a8a591f436a85bb4d90c2,,8,8,8,9,8,10,9,2,9,9,8,8,8,9,8,8,9,The loss of my oldest living sister.,95,80,90,11,,1953,2,,2,,"I am so incredibly sorry to hear about the loss of your oldest sister; I can only imagine the profound grief and emptiness you must be feeling right now. My heart truly aches for you during this devastating time, as losing a sibling, especially an oldest, leaves such an irreplaceable void. Please know I'm thinking of you and sending my deepest condolences, and I hope you find some comfort in the memories you shared.",Human,1.0,1,8,8.4,7.2,8.4,8.0,88.33333333333333,11
2025-12-01 20:30:32,2025-12-01 20:42:40,0,100,728,1,2025-12-01 20:42:41,R_34ubbHBhtCVqRbe,,anonymous,EN,1,662fb80a4da196677a2d2a16,,8,8,9,9,8,10,7,8,9,8,8,7,9,8,8,8,7,"This past week was tough because I was dealing with many deadlines hitting all at once. I felt the squeeze to keep things moving and worried I might slip up. Finishing the last thing gave me a huge sense of relief, but honestly, I was wiped out by the end of the week.
",75,70,80,3,,1964,1,,1,,Initial Response,Human,1.0,1,8,8.2,8.0,8.0,8.066666666666666,75.0,3
2025-12-01 20:22:22,2025-12-01 20:48:00,0,100,1537,1,2025-12-01 20:48:00,R_5H6pXXk4sBaCqOZ,,anonymous,EN,1,611098e0196fa40fa49f3aeb,,7,7,7,7,7,10,4,7,7,4,7,7,7,7,7,7,7,I spent time with close and extended family at thanksgiving and we had a very close and great time.,68,68,69,7,,1999,4,,1,,"It sounds like you had a truly wonderful Thanksgiving, filled with so much warmth and connection with your family. I can imagine how much joy and contentment you must feel from those precious moments, and I'm genuinely happy for you that you got to experience such a great time. It's so important to have those close bonds, and I hope those beautiful memories stay with you.",Human,1.0,1,7,6.4,6.4,7.0,6.6000000000000005,68.33333333333333,7
